"","Time","dataset","Metric","n","mean","sd","se","N"
"1","Day 1","BA","auc",100,0.625677506775068,0.0759951485015516,0.00759951485015516,"50(9/41)"
"2","Day 1","Calprotectin","auc",100,0.576759868421053,0.0889280304496256,0.00889280304496256,"46(8/38)"
"3","Day 1","Mic_Class","auc",100,0.76875,0.0699382137999451,0.00699382137999451,"47(8/39)"
"4","Day 1","Mic_Genus","auc",100,0.692660256410256,0.0984987692438459,0.00984987692438459,"47(8/39)"
"5","Day 1","Mic_Order","auc",100,0.735176282051282,0.0836404469650948,0.00836404469650948,"47(8/39)"
"6","Day 1","Mic_Species","auc",100,0.714214743589744,0.0883877767988264,0.00883877767988264,"47(8/39)"
"7","Day 1","SCFA","auc",100,0.840433604336044,0.0438259109666619,0.00438259109666619,"50(9/41)"
"8","Day 1","Vancomycin","auc",100,0.616951219512195,0.0882852716410527,0.00882852716410527,"49(8/41)"
"9","Day 7","BA","auc",100,0.492161172161172,0.136923999644272,0.0136923999644272,"46(7/39)"
"10","Day 7","Mic_Class","auc",100,0.595112781954887,0.119341951265829,0.0119341951265829,"45(7/38)"
"11","Day 7","Mic_Genus","auc",100,0.531691729323308,0.104064576250841,0.0104064576250841,"45(7/38)"
"12","Day 7","Mic_Order","auc",100,0.560507518796992,0.112402749440554,0.0112402749440554,"45(7/38)"
"13","Day 7","Mic_Species","auc",100,0.551635338345865,0.107746721381798,0.0107746721381799,"45(7/38)"
"14","Day 7","SCFA","auc",100,0.621904761904762,0.0957908937725371,0.00957908937725371,"46(7/39)"
"15","Day 7","Vancomycin","auc",100,0.651446886446886,0.0893482513831948,0.00893482513831948,"46(7/39)"
"16","Screening","BA","auc",100,0.630219594594595,0.0733433855115634,0.00733433855115634,"45(8/37)"
"17","Screening","Cytokines","auc",100,0.571004464285714,0.123407422933089,0.0123407422933089,"39(7/32)"
"18","Screening","Mic_Class","auc",100,0.627943722943723,0.0844292593064779,0.00844292593064779,"40(7/33)"
"19","Screening","Mic_Genus","auc",100,0.672640692640693,0.0853780522116031,0.00853780522116031,"40(7/33)"
"20","Screening","Mic_Order","auc",100,0.616277056277056,0.0878272154395467,0.00878272154395467,"40(7/33)"
"21","Screening","Mic_Species","auc",100,0.673354978354978,0.0617532700882719,0.00617532700882719,"40(7/33)"
"22","Screening","SCFA","auc",100,0.610394736842105,0.097123287811624,0.00971232878116239,"46(8/38)"
