"variable","Freq","Mean_imp","Median_imp","se","MP_ID","gtdb_sp_name","ncbi_sp_name","dataset","Time"
"Age",0.06,0.0315610317460317,0.028023373015873,0.00568567251509032,NA,NA,NA,"Cytokines","Screening"
"BCA.1_Screening",0.01,0.0155301587301587,0.0155301587301587,NA,NA,NA,NA,"Cytokines","Screening"
"BMI",0.03,0.0239884656084656,0.0239240476190477,0.000160770669666003,NA,NA,NA,"Cytokines","Screening"
"EGF_Screening",0.29,0.0240709113300492,0.0187783333333334,0.00331155082119626,NA,NA,NA,"Cytokines","Screening"
"ENA.78_Screening",0.01,0.0141635714285715,0.0141635714285715,NA,NA,NA,NA,"Cytokines","Screening"
"Eotaxin.2_Screening",0.62,0.0643985842293905,0.0599280952380951,0.00378618831567488,NA,NA,NA,"Cytokines","Screening"
"G.CSF_Screening",0.08,0.010074880952381,0.00746424603174603,0.00257272197676537,NA,NA,NA,"Cytokines","Screening"
"IFNg_Screening",0.09,0.00737834215167549,0.00689642857142857,0.00107287767414328,NA,NA,NA,"Cytokines","Screening"
"IL.17E.IL.25_Screening",0.03,0.0158730423280423,0.0156069841269841,0.00334699197915114,NA,NA,NA,"Cytokines","Screening"
"IL.1b_Screening",0.01,0.000748571428571429,0.000748571428571429,NA,NA,NA,NA,"Cytokines","Screening"
"IL.21_Screening",0.01,0.00535952380952381,0.00535952380952381,NA,NA,NA,NA,"Cytokines","Screening"
"IL.27_Screening",0.1,0.0329741349206349,0.0277848015873016,0.0045750850750227,NA,NA,NA,"Cytokines","Screening"
"IL.33_Screening",0.01,0.0275902380952381,0.0275902380952381,NA,NA,NA,NA,"Cytokines","Screening"
"MCP.4_Screening",0.04,0.0415755952380952,0.0439916269841269,0.00797582693612675,NA,NA,NA,"Cytokines","Screening"
"MDC_Screening",0.04,0.0282091865079365,0.0253783730158731,0.00623217805312523,NA,NA,NA,"Cytokines","Screening"
"MIG.CXCL9_Screening",0.16,0.0333929365079365,0.0300049206349207,0.00352080985973022,NA,NA,NA,"Cytokines","Screening"
"MIP.1b_Screening",0.74,0.059667828185328,0.055012738095238,0.00341994177463937,NA,NA,NA,"Cytokines","Screening"
"MIP.1d_Screening",0.01,0.014199126984127,0.014199126984127,NA,NA,NA,NA,"Cytokines","Screening"
"PDGF.AB.BB_Screening",0.06,0.0401734499759499,0.0448885317460317,0.00752916055843123,NA,NA,NA,"Cytokines","Screening"
"SCF_Screening",0.25,0.0384370952380952,0.0380966666666667,0.00282325793607008,NA,NA,NA,"Cytokines","Screening"
"SDF.1a.b_Screening",0.28,0.0517202602556172,0.039925873015873,0.00467851111895746,NA,NA,NA,"Cytokines","Screening"
"TARC_Screening",0.03,0.0283276455026455,0.0331194444444444,0.00492229113817851,NA,NA,NA,"Cytokines","Screening"
"TGFa_Screening",0.27,0.0211909435626102,0.0177683333333334,0.00403009039996528,NA,NA,NA,"Cytokines","Screening"
"TNFb_Screening",0.28,0.0135477097505669,0.010462380952381,0.00147086889415682,NA,NA,NA,"Cytokines","Screening"
"TPO_Screening",0.01,0.0322704761904761,0.0322704761904761,NA,NA,NA,NA,"Cytokines","Screening"
"TRAIL_Screening",0.04,0.0248675793650794,0.0266231746031746,0.00452478021998855,NA,NA,NA,"Cytokines","Screening"
"TSLP_Screening",0.02,0.021384246031746,0.021384246031746,0.0171419444444444,NA,NA,NA,"Cytokines","Screening"
"X6CKine_Screening",0.08,0.0189758928571429,0.0185025793650794,0.00226075629796523,NA,NA,NA,"Cytokines","Screening"
"n_pretreatment_events",0.09,0.0158862962962963,0.0145461111111111,0.00287238160537483,NA,NA,NA,"Cytokines","Screening"
"total.recurrences",0.01,0.032040873015873,0.032040873015873,NA,NA,NA,NA,"Cytokines","Screening"
"total_abx_days_prescreen",0.01,0.0329681746031746,0.0329681746031746,NA,NA,NA,NA,"Cytokines","Screening"
"Acetic.acid_Screening",0.01,0.0198634920634921,0.0198634920634921,NA,NA,NA,NA,"SCFA","Screening"
"Age",0.3,0.0795059179894178,0.0682625793650791,0.00840241139197671,NA,NA,NA,"SCFA","Screening"
"BMI",0.02,0.040495,0.040495,0.0050140476190476,NA,NA,NA,"SCFA","Screening"
"Butyric.acid_Screening",0.1,0.0388410396825396,0.0416824206349206,0.00445204450668773,NA,NA,NA,"SCFA","Screening"
"Hexanoic.acid_Screening",0.54,0.0737567798353908,0.0609915079365078,0.00584620954743619,NA,NA,NA,"SCFA","Screening"
"Isobutyric.acid_Screening",0.05,0.0252363968253968,0.0217116666666667,0.00336478241030267,NA,NA,NA,"SCFA","Screening"
"Isovaleric.acid_Screening",0.54,0.0850986640211639,0.077643968253968,0.00504183325526717,NA,NA,NA,"SCFA","Screening"
"Succinic.acid_Screening",0.06,0.0510226058201057,0.0548811507936507,0.00613073935416676,NA,NA,NA,"SCFA","Screening"
"Valeric.acid_Screening",0.06,0.036389828042328,0.0327605555555556,0.00443795514915873,NA,NA,NA,"SCFA","Screening"
