feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Clostridia	VE303	VE303	3.74307750998223	0.25885359263688	202	202	3.85035640952372e-31	2.88776730714279e-29
Erysipelotrichia	VE303	VE303	2.82216231898596	0.232296887909536	202	202	9.54191564477343e-25	3.57821836679004e-23
shannon_diversity	VE303	VE303	0.21772968561884	0.0277101534564326	202	202	1.65201657346898e-12	4.13004143367246e-11
Gammaproteobacteria	VE303	VE303	-1.35673840589422	0.18213628125264	202	202	7.56474416371226e-12	1.41838953069605e-10
Clostridia	Abx.group_joined	Vanco_Metro	-3.85118086647582	0.61833195832849	202	202	4.22643318698597e-08	6.33964978047895e-07
Clostridia	rec.TRT.combined	Placebo Good	5.39730135727565	0.93991826968292	202	202	1.53794656061798e-07	1.92243320077247e-06
Bacilli	VE303	VE303	-0.793178313372681	0.165170247207129	202	202	3.85823706582377e-06	4.13382542766832e-05
Erysipelotrichia	rec.TRT.combined	Placebo Good	3.60940872400043	0.848010544426534	202	202	5.24631086922569e-05	0.000491841643989909
Coriobacteriia	VE303	VE303	0.577116914519051	0.148154723899369	202	202	0.000148781873022273	0.00123984894185227
Erysipelotrichia	Abx.group_joined	Vanco_Metro	-2.17880599005822	0.558355195838758	202	202	0.000221405535987258	0.00166054151990444
Bacteroidia	Abx.group_joined	Vanco_Metro	-4.39435690289712	1.24022973552131	202	202	0.000711787421190774	0.00485309605357346
Clostridia	rec.TRT.combined	Placebo Bad	3.47672071523266	1.02609710538665	202	202	0.00108133759423082	0.0067583599639426
Actinobacteria	VE303	VE303	0.673421091066065	0.205232984399511	202	202	0.00128366765840961	0.00740577495236312
Negativicutes	Abx.group_joined	Vanco_Metro	1.72989829365515	0.520306557050099	202	202	0.00147169947735727	0.00788410434298537
Gammaproteobacteria	rec.TRT.combined	Placebo Bad	-2.88959273553878	1.06911155900499	202	202	0.00834763389196765	0.0417381694598382
Clostridia	rec.TRT.combined	VE303 Dosed Good	1.90997704530978	0.736388280911439	202	202	0.0113679634862769	0.0532873288419231
Epsilonproteobacteria	rec.TRT.combined	VE303 Dosed Good	-1.90561768414284	0.752669346790552	202	202	0.0134082025106001	0.0591538346055886
Bacilli	Abx.group_joined	Vanco_Metro	1.50106621558248	0.60664281175873	202	202	0.0157549616555602	0.0656456735648342
Bacteroidia	VE303	VE303	0.640897698178946	0.265167411192863	202	202	0.0169705673115187	0.0669890814928369
Erysipelotrichia	rec.TRT.combined	Placebo Bad	2.20274780713223	0.925743942682494	202	202	0.019522614580558	0.0732098046770924
Coriobacteriia	Abx.group_joined	Vanco_Metro	-1.13354104651018	0.526134263448426	202	202	0.034669580847871	0.113052981025666
Epsilonproteobacteria	rec.TRT.combined	Placebo Good	-2.05353859979754	0.954026735880602	202	202	0.0345395010731013	0.113052981025666
Epsilonproteobacteria	rec.TRT.combined	Placebo Bad	-2.27180503126768	1.03866752283436	202	202	0.0317950986489791	0.113052981025666
Fusobacteriia	VE303	VE303	-0.485441776123412	0.234689469846845	202	202	0.040386311374416	0.12620722304505
Fusobacteriia	Abx.group_joined	Vanco_Metro	1.70861461616647	0.840482425746219	202	202	0.0459952748743618	0.137985824623085
Deltaproteobacteria	VE303	VE303	-0.190563454730082	0.0958016727566453	202	202	0.0488464174761174	0.140903127334954
Fusobacteriia	rec.TRT.combined	Placebo Bad	-2.64577440192165	1.33418080553186	202	202	0.0508453641887756	0.141237122746599
Betaproteobacteria	rec.TRT.combined	Placebo Bad	3.26988153847767	1.75711393062667	202	202	0.0667605071119817	0.178822786907094
Bacilli	rec.TRT.combined	Placebo Good	-1.5942532801461	0.881753011255842	202	202	0.0743133495245633	0.185783373811408
shannon_diversity	Abx.group_joined	Vanco_Metro	-0.222697926526291	0.12176996945703	202	202	0.0728744867743842	0.185783373811408
Bacteroidia	rec.TRT.combined	Placebo Bad	3.26040937430934	1.93464588577574	202	202	0.0959922271813155	0.211747559958784
Fusobacteriia	rec.TRT.combined	Placebo Good	-2.07980384901912	1.22395932977489	202	202	0.0932474162330159	0.211747559958784
Gammaproteobacteria	Abx.group_joined	Vanco_Metro	1.15659828002721	0.675329183077084	202	202	0.0911075541384435	0.211747559958784
Negativicutes	VE303	VE303	-0.263070740485821	0.155207295748167	202	202	0.0922495715493938	0.211747559958784
Verrucomicrobiae	VE303	VE303	0.243974307769974	0.152688753236917	202	202	0.112192282239896	0.240412033371205
Erysipelotrichia	rec.TRT.combined	VE303 Dosed Good	0.996200886884705	0.664525215464735	202	202	0.137706444183748	0.286888425382808
Gammaproteobacteria	rec.TRT.combined	Placebo Good	-1.41672067189596	0.980907954067265	202	202	0.152470956734963	0.309062750138438
Bacteroidia	rec.TRT.combined	Placebo Good	2.41657987159736	1.77630684724783	202	202	0.177684794501899	0.318923325055003
Betaproteobacteria	rec.TRT.combined	VE303 Dosed Good	1.75868564782535	1.27287036227844	202	202	0.171261192639065	0.318923325055003
Coriobacteriia	rec.TRT.combined	Placebo Bad	1.12917817242095	0.835752657603617	202	202	0.180427599154634	0.318923325055003
Gammaproteobacteria	rec.TRT.combined	VE303 Dosed Good	-1.07792143250711	0.773893305752318	202	202	0.167459095060163	0.318923325055003
Negativicutes	rec.TRT.combined	VE303 Dosed Good	-0.807668831784576	0.600661018305144	202	202	0.182849373031535	0.318923325055003
shannon_diversity	rec.TRT.combined	VE303 Dosed Good	0.191191134563744	0.138081697201375	202	202	0.171156564757814	0.318923325055003
Fusobacteriia	rec.TRT.combined	VE303 Dosed Good	-1.13422941831739	0.965508390646156	202	202	0.24369251497633	0.415384968709654
Coriobacteriia	rec.TRT.combined	Placebo Good	0.873723587393353	0.766685108841244	202	202	0.257829231518342	0.429715385863904
shannon_diversity	rec.TRT.combined	Placebo Bad	0.203793266110879	0.190603021786984	202	202	0.289119784231478	0.471390952551323
Deltaproteobacteria	rec.TRT.combined	VE303 Dosed Good	1.09316736891282	1.10713017917454	202	202	0.326722993559372	0.484598380839022
Negativicutes	rec.TRT.combined	Placebo Good	-0.747615122448123	0.761755574116319	202	202	0.329526898970535	0.484598380839022
Negativicutes	rec.TRT.combined	Placebo Bad	-0.828118448677944	0.830553697632263	202	202	0.321908255755616	0.484598380839022
Synergistia	rec.TRT.combined	VE303 Dosed Good	0.565305464246013	0.555063923935563	202	202	0.311883425037289	0.484598380839022
shannon_diversity	rec.TRT.combined	Placebo Good	0.18044590385257	0.174972771582573	202	202	0.306437929287499	0.484598380839022
Synergistia	Abx.group_joined	Vanco_Metro	0.425323724477348	0.50542033300072	202	202	0.402854134293641	0.581039616769674
Bacteroidia	rec.TRT.combined	VE303 Dosed Good	1.11165680460085	1.40174425067505	202	202	0.43019721552711	0.608769644613834
Actinobacteria	Abx.group_joined	Vanco_Metro	-0.421604483755025	0.677564619949396	202	202	0.535761350561642	0.730241717091829
Actinobacteria	rec.TRT.combined	Placebo Good	-0.591193242501818	0.993295967552845	202	202	0.553320852131103	0.730241717091829
Bacilli	rec.TRT.combined	VE303 Dosed Good	-0.42369907335265	0.69563928762099	202	202	0.54419095336002	0.730241717091829
Synergistia	VE303	VE303	-0.00792951631456954	0.0133962984550377	202	202	0.55498370498979	0.730241717091829
