feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Blautia	VE303	VE303	3.22444432779155	0.262264467623024	202	202	5.73124276382715e-25	3.03755866482839e-22
Clostridium	VE303	VE303	2.67481316388266	0.22234532229184	202	202	1.79231124519718e-24	4.74962479977252e-22
Lachnoclostridium	VE303	VE303	2.78895082636605	0.232712778111989	202	202	3.99956620902866e-24	7.06590030261729e-22
Flavonifractor	VE303	VE303	2.34616385181098	0.202937665560512	202	202	8.41894487902881e-23	1.11551019647132e-20
Erysipelatoclostridium	VE303	VE303	1.66020944480396	0.216664169524906	202	202	1.90352889419617e-12	1.68145052320662e-10
shannon_diversity	VE303	VE303	0.21772968561884	0.0277101534564326	202	202	1.65201657346898e-12	1.68145052320662e-10
Klebsiella	VE303	VE303	-1.78084883640212	0.233088168928283	202	202	2.88030832835945e-12	2.18080487718644e-10
Lactobacillus	VE303	VE303	-1.64924071153092	0.245348328445362	202	202	3.61740050289908e-10	2.39652783317064e-08
Lachnoclostridium	Abx.group_joined	Vanco_Metro	-4.29248712503637	0.598350300389032	202	202	6.6708011239588e-10	3.92836066188685e-08
Enterococcus	VE303	VE303	1.26483927988222	0.195972611666582	202	202	1.44573671307382e-09	7.66240457929127e-08
Clostridioides	VE303	VE303	1.37433358615121	0.226284573790485	202	202	8.96395018647944e-09	4.31899418075827e-07
Intestinibacter	VE303	VE303	1.07157900589867	0.190802599885508	202	202	8.24238152506547e-08	3.64038517357058e-06
Hungatella	VE303	VE303	1.05203463326388	0.193854449706343	202	202	2.31450296064121e-07	9.43605053184494e-06
Kluyvera	VE303	VE303	-0.637178749387199	0.117492130707536	202	202	2.67662047779776e-07	1.01329203802344e-05
Clostridium	rec.TRT.combined	Placebo Good	4.37674629879704	0.807929961641007	202	202	5.05305979671364e-07	1.78541446150549e-05
Tyzzerella	VE303	VE303	1.0018680050648	0.192382127007767	202	202	5.56706962163854e-07	1.84409181216777e-05
