feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Clostridiales	VE303	VE303	3.74468094535581	0.259050715698487	202	202	3.18477049818641e-31	3.02553197327709e-29
Erysipelotrichales	VE303	VE303	2.82216231898596	0.232296887909536	202	202	9.54191564477343e-25	4.53240993126738e-23
shannon_diversity	VE303	VE303	0.21772968561884	0.0277101534564326	202	202	1.65201657346898e-12	5.23138581598512e-11
Enterobacterales	VE303	VE303	-1.38810439872849	0.185587134465758	202	202	6.37880784142002e-12	1.51496686233725e-10
Clostridiales	Abx.group_joined	Vanco_Metro	-3.89073336212963	0.609968288450323	202	202	2.21659141189184e-08	4.2115236825945e-07
Clostridiales	rec.TRT.combined	Placebo Good	5.39470647386119	0.92909976680729	202	202	1.13090989615161e-07	1.79060733557338e-06
Bifidobacteriales	VE303	VE303	1.2045602491108	0.237864482696316	202	202	1.18219736457851e-06	1.60441070907084e-05
Lactobacillales	VE303	VE303	-0.783864969170706	0.165934512857635	202	202	5.41528567468929e-06	6.43065173869353e-05
Erysipelotrichales	rec.TRT.combined	Placebo Good	3.60940872400043	0.848010544426534	202	202	5.24631086922569e-05	0.000553777258418268
Micrococcales	VE303	VE303	-0.363055141525374	0.0946371613479815	202	202	0.000190793504366182	0.00181253829147873
Erysipelotrichales	Abx.group_joined	Vanco_Metro	-2.17880599005822	0.558355195838758	202	202	0.000221405535987258	0.00191213871988996
Actinomycetales	VE303	VE303	-0.410036518178307	0.113296399772834	202	202	0.000413040139295702	0.00326990110275764
Bacteroidales	Abx.group_joined	Vanco_Metro	-4.39388448271347	1.24026485810172	202	202	0.00071288409008526	0.00520953758139228
Pasteurellales	VE303	VE303	0.424414583307701	0.128052873249904	202	202	0.00115021175885252	0.00780500836364209
Veillonellales	VE303	VE303	-0.519359981213904	0.159026151456719	202	202	0.00137707216213074	0.008721457026828
Clostridiales	rec.TRT.combined	Placebo Bad	3.31725877994338	1.0143328729088	202	202	0.00156097789274555	0.00926830623817668
Coriobacteriales	Abx.group_joined	Vanco_Metro	-1.3234847986058	0.413004638532155	202	202	0.00202174963611512	0.011298012672408
Enterobacterales	rec.TRT.combined	Placebo Bad	-2.91059289467997	1.08795903968108	202	202	0.00900173581772655	0.0475091612602235
Clostridiales	rec.TRT.combined	VE303 Dosed Good	1.88710760102152	0.727536641680255	202	202	0.0113379459248571	0.0566897296242855
Campylobacterales	rec.TRT.combined	VE303 Dosed Good	-1.90561768414284	0.752669346790552	202	202	0.0134082025106001	0.0636889619253504
Bacteroidales	VE303	VE303	0.639883507551422	0.265073112366052	202	202	0.017103598546503	0.0773734219960848
Erysipelotrichales	rec.TRT.combined	Placebo Bad	2.20274780713223	0.925743942682494	202	202	0.019522614580558	0.0828890937362206
Lactobacillales	Abx.group_joined	Vanco_Metro	1.48403071317974	0.623847321340639	202	202	0.0200678858519271	0.0828890937362206
Actinomycetales	rec.TRT.combined	Placebo Good	-1.63783746680922	0.705024954718452	202	202	0.0228010289522565	0.0902540729360151
Campylobacterales	rec.TRT.combined	Placebo Bad	-2.27180503126768	1.03866752283436	202	202	0.0317950986489791	0.120821374866121
Campylobacterales	rec.TRT.combined	Placebo Good	-2.05353859979754	0.954026735880602	202	202	0.0345395010731013	0.126202023151716
Burkholderiales	rec.TRT.combined	Placebo Bad	3.69791975001327	1.76143295449214	202	202	0.0392299237189289	0.13702498502034
Fusobacteriales	VE303	VE303	-0.485441776123412	0.234689469846845	202	202	0.040386311374416	0.13702498502034
Veillonellales	Abx.group_joined	Vanco_Metro	1.45982129070157	0.710428473641563	202	202	0.0436672188168465	0.143047785779325
Fusobacteriales	Abx.group_joined	Vanco_Metro	1.70861461616647	0.840482425746219	202	202	0.0459952748743618	0.145651703768812
Desulfovibrionales	VE303	VE303	-0.190563454730082	0.0958016727566453	202	202	0.0488464174761174	0.149690634201005
Fusobacteriales	rec.TRT.combined	Placebo Bad	-2.64577440192165	1.33418080553186	202	202	0.0508453641887756	0.150947174935428
