feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
shannon_diversity	VE303	VE303	0.21772968561884	0.0277101534564326	202	202	1.65201657346898e-12	8.26008286734492e-11
Proteobacteria	VE303	VE303	-0.943132243719344	0.138390027210746	202	202	2.14117562010528e-10	5.35293905026319e-09
Firmicutes	VE303	VE303	0.674820071231973	0.122703163176214	202	202	1.42183244681717e-07	2.36972074469529e-06
Actinobacteria	VE303	VE303	0.8211939991549	0.198710867981851	202	202	5.93656885627025e-05	0.000742071107033781
Bacteroidetes	Abx.group_joined	Vanco_Metro	-4.39478320055333	1.24025062680263	202	202	0.000711138306386076	0.00711138306386076
Bacteroidetes	VE303	VE303	0.640903853885224	0.265163334432234	202	202	0.0169678781050726	0.121199129321947
Tenericutes	rec.TRT.combined	Placebo Good	0.611594366284332	0.24714678946242	202	202	0.0153480126571968	0.121199129321947
Candidatus.Melainabacteria	Abx.group_joined	Vanco_Metro	-0.518478456036136	0.226443573292212	202	202	0.023106285610213	0.128368253390072
Proteobacteria	rec.TRT.combined	Placebo Bad	-1.73709621167444	0.73578535466106	202	202	0.0205554502397767	0.128368253390072
Fusobacteria	VE303	VE303	-0.485441776123412	0.234689469846845	202	202	0.040386311374416	0.20193155687208
Fusobacteria	Abx.group_joined	Vanco_Metro	1.70861461616647	0.840482425746219	202	202	0.0459952748743618	0.209069431247099
Fusobacteria	rec.TRT.combined	Placebo Bad	-2.64577440192165	1.33418080553186	202	202	0.0508453641887756	0.211855684119898
Proteobacteria	Abx.group_joined	Vanco_Metro	0.868194732311709	0.460646257447428	202	202	0.0635580012681039	0.244453851031169
shannon_diversity	Abx.group_joined	Vanco_Metro	-0.222697926526291	0.12176996945703	202	202	0.0728744867743842	0.260266024194229
Bacteroidetes	rec.TRT.combined	Placebo Bad	3.26036818880365	1.93467521931772	202	202	0.0960013090484705	0.294105748893361
Fusobacteria	rec.TRT.combined	Placebo Good	-2.07980384901912	1.22395932977489	202	202	0.0932474162330159	0.294105748893361
Proteobacteria	rec.TRT.combined	Placebo Good	-1.12249892427098	0.67481944860496	202	202	0.0999959546237428	0.294105748893361
Verrucomicrobia	VE303	VE303	0.243974307769974	0.152688753236917	202	202	0.112192282239896	0.311645228444155
Bacteroidetes	rec.TRT.combined	Placebo Good	2.41709881347681	1.77633393407615	202	202	0.177599349136639	0.443998372841598
shannon_diversity	rec.TRT.combined	VE303 Dosed Good	0.191191134563744	0.138081697201375	202	202	0.171156564757814	0.443998372841598
Actinobacteria	Abx.group_joined	Vanco_Metro	-0.779620557822207	0.673911227254668	202	202	0.251133302895589	0.570757506580885
Fusobacteria	rec.TRT.combined	VE303 Dosed Good	-1.13422941831739	0.965508390646156	202	202	0.24369251497633	0.570757506580885
Candidatus.Melainabacteria	rec.TRT.combined	Placebo Good	0.343706369921905	0.350022709019152	202	202	0.32733281243699	0.606171874883315
Proteobacteria	rec.TRT.combined	VE303 Dosed Good	-0.53689075007901	0.532080999014014	202	202	0.315925729251081	0.606171874883315
Synergistetes	rec.TRT.combined	VE303 Dosed Good	0.565305464246013	0.555063923935563	202	202	0.311883425037289	0.606171874883315
shannon_diversity	rec.TRT.combined	Placebo Good	0.18044590385257	0.174972771582573	202	202	0.306437929287499	0.606171874883315
shannon_diversity	rec.TRT.combined	Placebo Bad	0.203793266110879	0.190603021786984	202	202	0.289119784231478	0.606171874883315
Synergistetes	Abx.group_joined	Vanco_Metro	0.425323724477348	0.50542033300072	202	202	0.402854134293641	0.719382382667216
Bacteroidetes	rec.TRT.combined	VE303 Dosed Good	1.11160858613001	1.40176558423602	202	202	0.430224128475964	0.741765738751662
Candidatus.Melainabacteria	rec.TRT.combined	Placebo Bad	0.28107101841142	0.382230602766631	202	202	0.463008951087016	0.771681585145026
Candidatus.Melainabacteria	rec.TRT.combined	VE303 Dosed Good	0.181481044632972	0.272947809349499	202	202	0.506900595377293	0.79203218027702
Firmicutes	rec.TRT.combined	Placebo Good	0.304507720640456	0.45368797999311	202	202	0.503928554800337	0.79203218027702
Synergistetes	VE303	VE303	-0.00792951631456954	0.0133962984550377	202	202	0.55498370498979	0.816152507337927
Tenericutes	Abx.group_joined	Vanco_Metro	0.102564644788276	0.168268899067734	202	202	0.544110400673902	0.816152507337927
Firmicutes	Abx.group_joined	Vanco_Metro	-0.11036976049346	0.299331724226108	202	202	0.713506041056885	0.964197352779575
Firmicutes	rec.TRT.combined	VE303 Dosed Good	-0.134103569382196	0.355698260160903	202	202	0.707161147395644	0.964197352779575
Firmicutes	rec.TRT.combined	Placebo Bad	-0.189359892841251	0.495251313582072	202	202	0.703152026774867	0.964197352779575
Actinobacteria	rec.TRT.combined	Placebo Good	-0.280879477497371	0.98567748892806	202	202	0.77637341359695	0.970466766996187
Verrucomicrobia	Abx.group_joined	Vanco_Metro	-0.166644812650014	0.533826684980434	202	202	0.755807122340297	0.970466766996187
Verrucomicrobia	rec.TRT.combined	Placebo Good	0.224889933572783	0.778851685270246	202	202	0.773488744068457	0.970466766996187
Actinobacteria	rec.TRT.combined	VE303 Dosed Good	-0.00106726833133307	0.777293621625629	202	202	0.998907747084514	0.998907747084514
Actinobacteria	rec.TRT.combined	Placebo Bad	0.179481248490274	1.07465307139978	202	202	0.867757135929697	0.998907747084514
Candidatus.Melainabacteria	VE303	VE303	0.0102664304200782	0.105821234969608	202	202	0.922812238918559	0.998907747084514
Synergistetes	rec.TRT.combined	Placebo Good	0.0521705587861301	0.704956864650679	202	202	0.941212014681463	0.998907747084514
Synergistetes	rec.TRT.combined	Placebo Bad	0.0274460948523749	0.766575039714818	202	202	0.971538393131843	0.998907747084514
Tenericutes	rec.TRT.combined	VE303 Dosed Good	0.00962767094856854	0.194820745658205	202	202	0.960705376414686	0.998907747084514
Tenericutes	rec.TRT.combined	Placebo Bad	0.00260029754044621	0.269504978689658	202	202	0.992324500321179	0.998907747084514
Tenericutes	VE303	VE303	-0.00457338556601666	0.0520715899631868	202	202	0.930128561893053	0.998907747084514
Verrucomicrobia	rec.TRT.combined	VE303 Dosed Good	-0.0956555196274961	0.614311769005857	202	202	0.876638501782361	0.998907747084514
Verrucomicrobia	rec.TRT.combined	Placebo Bad	0.0379406543735951	0.849063028123631	202	202	0.964463671531823	0.998907747084514
