feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Absiella.sp..VE303.07	VE303	VE303	2.48355649024075	0.184944467149297	202	202	2.55113889135843e-28	4.82165250466743e-25
Blautia.sp..VE303.05	VE303	VE303	2.37711344979557	0.195417505607135	202	202	8.68424737775174e-25	8.20661377197539e-22
Flavonifractor.sp..VE303.08	VE303	VE303	1.81912987200457	0.181681892129566	202	202	8.53362704229907e-19	5.37618503664841e-16
Anaerotruncus.sp..VE303.02	VE303	VE303	1.47591244601458	0.176702998677434	202	202	1.20268304688673e-14	5.68267739653979e-12
Clostridium.clostridioforme	VE303	VE303	1.47923456330506	0.187381357673304	202	202	4.93196709510222e-13	1.86428356194864e-10
shannon_diversity	VE303	VE303	0.21772968561884	0.0277101534564326	202	202	1.65201657346898e-12	5.2038522064273e-10
Flavonifractor.plautii	VE303	VE303	1.2776530355384	0.177997159550138	202	202	2.54326513450516e-11	6.35920944221272e-09
Lactobacillus.plantarum	VE303	VE303	-1.50097130351308	0.207859163961401	202	202	2.69172886442867e-11	6.35920944221272e-09
Bifidobacterium.dentium	VE303	VE303	1.34142073726597	0.192916479368144	202	202	1.03206942991218e-10	2.16734580281558e-08
Intestinibacter.bartlettii	VE303	VE303	1.49183816562299	0.230745839387461	202	202	1.04314449578941e-09	1.83397983177903e-07
Sellimonas.sp..VE303.03	VE303	VE303	0.939629128109516	0.145241345509908	202	202	1.06739566928939e-09	1.83397983177903e-07
Clostridium.aldenense	VE303	VE303	1.18227537038725	0.183923401613474	202	202	1.46051993911888e-09	2.12337129610361e-07
Lactobacillus.rhamnosus	VE303	VE303	-1.28315318996304	0.198299954202702	202	202	1.45151018108851e-09	2.12337129610361e-07
Clostridium.sp..VE303.04	VE303	VE303	1.3434665222631	0.211849888925769	202	202	2.18372571063625e-09	2.94802970935893e-07
Clostridium.symbiosum	VE303	VE303	1.40629115429042	0.22327368825776	202	202	2.4512652326454e-09	3.08859419313321e-07
Clostridium.aldenense	Abx.group_joined	Vanco_Metro	-3.45461218402888	0.535086183159993	202	202	1.07434062428878e-08	1.26906486244113e-06
Lachnospiraceae.bacterium.7_1_58FAA	VE303	VE303	1.18011446563766	0.22029453319818	202	202	2.67339411165276e-07	2.97218521824925e-05
Klebsiella.michiganensis	VE303	VE303	-1.05663924498632	0.202844965305623	202	202	6.81674756288068e-07	7.15758494102471e-05
Klebsiella.pneumoniae	VE303	VE303	-1.20871486000708	0.234209309323229	202	202	8.50308506350442e-07	8.45833198422282e-05
Blautia.coccoides	VE303	VE303	0.980966817730866	0.19850123147958	202	202	1.93261895366123e-06	0.000182632491120986
X.Clostridium..innocuum	VE303	VE303	1.14856181412345	0.233820407067585	202	202	2.16902042387615e-06	0.000195211838148853
Hungatella.effluvii	VE303	VE303	0.826734993693486	0.169456540773984	202	202	2.78137390262319e-06	0.000238945303452629
Lachnospiraceae.bacterium.1_4_56FAA	Abx.group_joined	Vanco_Metro	-0.93617633967303	0.193236502688822	202	202	7.5863222622673e-06	0.000623397785899357
Clostridium.citroniae	VE303	VE303	0.726042034354145	0.15795253916091	202	202	8.64593516918202e-06	0.000680867394573084
Clostridium.bolteae	VE303	VE303	0.639691035875227	0.143568075501496	202	202	1.57105709126108e-05	0.00118771916099337
Anaerostipes.caccae	VE303	VE303	0.805528143870293	0.183985449193323	202	202	2.10792756305877e-05	0.00153230119006965
Hungatella.hathewayi	VE303	VE303	0.774881069545588	0.178191748601471	202	202	2.44681092211297e-05	0.00171276764547908
Erysipelotrichaceae.bacterium.6_1_45	VE303	VE303	0.766672222330001	0.178362122950649	202	202	2.84280476270002e-05	0.00191889321482251
Clostridium.sp..C105KSO14	VE303	VE303	0.655480565944538	0.153699951720401	202	202	3.35120211801823e-05	0.0021129400090702
X.Clostridium..spiroforme	VE303	VE303	0.433912644029245	0.101719710345536	202	202	3.35387303027016e-05	0.0021129400090702
Tyzzerella.nexilis	VE303	VE303	0.770222554945806	0.182612272759224	202	202	3.95963233229913e-05	0.00241409842195011
Enterococcus.casseliflavus	VE303	VE303	0.634473346587407	0.151787946460396	202	202	4.72872220412609e-05	0.0026286132252348
Kluyvera.cryocrescens	VE303	VE303	-0.456636418825502	0.108390950300157	202	202	4.68466601346292e-05	0.0026286132252348
Morganella.morganii	VE303	VE303	-0.663489905187271	0.157525589535758	202	202	4.53298666967896e-05	0.0026286132252348
Lachnoclostridium.sp..HF18	Abx.group_joined	Vanco_Metro	-0.776042006326797	0.187436193692034	202	202	5.15044968300191e-05	0.00278124282882103
Clostridium.bolteae	Abx.group_joined	Vanco_Metro	-1.75391225848152	0.409548309310052	202	202	5.57860637784482e-05	0.00292876834836853
X.Clostridium..citroniae	VE303	VE303	0.625788635219656	0.151753423088705	202	202	5.85506596465098e-05	0.00299083099275415
Lactobacillus.plantarum	Abx.group_joined	Vanco_Metro	3.08772083399017	0.72474144769613	202	202	6.50431572968859e-05	0.00323504124450301
Anaerotignum.lactatifermentans	VE303	VE303	0.37772351272741	0.0919721930840459	202	202	6.77138750296612e-05	0.00328151855912973
Lactococcus.lactis	VE303	VE303	-0.489883344537093	0.1197200618029	202	202	7.00092833881594e-05	0.00330793864009053
Pediococcus.pentosaceus	VE303	VE303	-0.226884713528677	0.0554560270082251	202	202	7.27121965965293e-05	0.00335185491627903
X.Clostridium..symbiosum	VE303	VE303	0.698707948153747	0.175464140809586	202	202	0.000102301741433506	0.00460357836450777
Blautia.producta	VE303	VE303	0.59506864286194	0.149598098830356	202	202	0.000107732469750615	0.00473521785648054
Clostridium.clostridioforme	Abx.group_joined	Vanco_Metro	-2.33320704232692	0.572748205577372	202	202	0.000116825603224098	0.00501819068394421
Lachnospiraceae.bacterium.CAG.364	VE303	VE303	0.589682969898884	0.150941369899957	202	202	0.000139732430685591	0.00586876208879482
Blautia.marasmi	VE303	VE303	0.479070394359013	0.123427053647335	202	202	0.000152890816857944	0.00628181834481552
Clostridium.paraputrificum	VE303	VE303	0.308925830170725	0.0801380106699491	202	202	0.000163155318727374	0.00656092664669654
Blautia.hominis	VE303	VE303	0.437773065965685	0.113597057753861	202	202	0.000171089090739263	0.0067366329478585
Lachnoclostridium.sp..HK36	VE303	VE303	0.500763008725422	0.130767159833208	202	202	0.000179100840110243	0.00690817526139507
Enterococcus.faecium	VE303	VE303	0.622607562238056	0.163759419791749	202	202	0.000211801259745525	0.00800608761838084
Blautia.sp..HF21_ig1	VE303	VE303	0.702096796229855	0.1856238219463	202	202	0.000218964421637933	0.00811456386069987
Clostridia.bacterium.UC5.1.1A9	VE303	VE303	0.413721356950491	0.10964891201244	202	202	0.000223584151203195	0.00812642395719305
Erysipelatoclostridium.ramosum	VE303	VE303	0.705361460797051	0.188447061354094	202	202	0.000253686823048958	0.00904656784080247
Eggerthella.lenta	VE303	VE303	0.465694431241452	0.125273338838385	202	202	0.000277384308550897	0.0097084507992814
Anaeromassilibacillus.sp..An250	VE303	VE303	0.320851969414479	0.0880196942918724	202	202	0.000367654662129849	0.0126339511168257
Clostridium.neonatale	VE303	VE303	0.35099988246001	0.0978200508835278	202	202	0.000432485951122024	0.0145964008503683
Clostridia.bacterium.UC5.1.2H11	VE303	VE303	0.332408360614499	0.0928557264348263	202	202	0.000458524424602661	0.0152037046052461
Clostridium.perfringens	rec.TRT.combined	Placebo Good	1.73381334647189	0.482888860960607	202	202	0.000532111791750652	0.0173395049380816
Lachnoclostridium.sp..VE303.01	VE303	VE303	0.436117856414684	0.127153369497441	202	202	0.000754008498938459	0.0222668134842764
Lachnospiraceae.bacterium.AM25.17	Abx.group_joined	Vanco_Metro	-1.48182286941706	0.417765551329839	202	202	0.000749072642432761	0.0222668134842764
