"","Value","Std.Error","DF","t.value","pval","scfa_var","Var","Strain","adj.pval","Class"
"Alloiso_Isolithocholic Acid.Bilophila.wadsworthia.St_Abundance",-0.588349604655918,1.54551865495827,43,-0.380681011366895,0.705314196055735,"Alloiso_Isolithocholic Acid","St_Abundance","Bilophila.wadsworthia",0.791862612852241,"Secondary BA"
"Alloiso_Isolithocholic Acid.Proteus.mirabilis.St_Abundance",1.1501601871452,2.94960620606299,43,0.389936861666829,0.698508084313691,"Alloiso_Isolithocholic Acid","St_Abundance","Proteus.mirabilis",0.78615891743157,"Secondary BA"
"Alloiso_Isolithocholic Acid.Escherichia.coli.St_Abundance",-1.61446710627681,0.586310732124389,43,-2.75360319676749,0.00860190277442897,"Alloiso_Isolithocholic Acid","St_Abundance","Escherichia.coli",0.0249216299408329,"Secondary BA"
"Alloiso_Isolithocholic Acid.X.Clostridium..aldenense.St_Abundance",-0.277952898028968,1.11457923892089,43,-0.249379217127779,0.804254897061613,"Alloiso_Isolithocholic Acid","St_Abundance","X.Clostridium..aldenense",0.861443380166577,"Secondary BA"
"Alloiso_Isolithocholic Acid.X.Clostridium..clostridioforme.St_Abundance",0.301500062699522,1.27870291628358,43,0.235785856792914,0.814718286951162,"Alloiso_Isolithocholic Acid","St_Abundance","X.Clostridium..clostridioforme",0.867755158565188,"Secondary BA"
"Alloiso_Isolithocholic Acid.Morganella.morganii.St_Abundance",-3.64798493769011,2.30526758143153,43,-1.5824561829932,0.120873842555647,"Alloiso_Isolithocholic Acid","St_Abundance","Morganella.morganii",0.212827964773589,"Secondary BA"
"Alloiso_Isolithocholic Acid.Fusobacterium.nucleatum.St_Abundance",-3.32429505788111,1.35699668674114,43,-2.44974441747863,0.0184434036681922,"Alloiso_Isolithocholic Acid","St_Abundance","Fusobacterium.nucleatum",0.0463571599819508,"Secondary BA"
"Alloiso_Isolithocholic Acid.Citrobacter.amalonaticus.St_Abundance",-0.487291410603852,1.56396265338379,43,-0.311574838152017,0.756869344715307,"Alloiso_Isolithocholic Acid","St_Abundance","Citrobacter.amalonaticus",0.83015027862518,"Secondary BA"
"Alloiso_Isolithocholic Acid.X.Clostridium..bolteae.St_Abundance",2.48561264962128,1.73695051818998,43,1.43102098971216,0.159652101673473,"Alloiso_Isolithocholic Acid","St_Abundance","X.Clostridium..bolteae",0.263235662128628,"Secondary BA"
"Alloiso_Isolithocholic Acid.Veillonella.parvula.St_Abundance",-2.64656732970702,1.2841646197852,43,-2.06092528086446,0.0453910054925984,"Alloiso_Isolithocholic Acid","St_Abundance","Veillonella.parvula",0.0986001173010445,"Secondary BA"
"Alloiso_Isolithocholic Acid.Lachnospiraceae.bacterium.CAG.364.St_Abundance",-1.09769181907121,1.19373662068683,43,-0.919542719934017,0.362941627841795,"Alloiso_Isolithocholic Acid","St_Abundance","Lachnospiraceae.bacterium.CAG.364",0.490222711104247,"Secondary BA"
"Alloiso_Isolithocholic Acid.Enterococcus.casseliflavus.St_Abundance",-1.82987170047576,3.95619727379914,43,-0.462532976450524,0.646031273308447,"Alloiso_Isolithocholic Acid","St_Abundance","Enterococcus.casseliflavus",0.743473456775797,"Secondary BA"
"Alloiso_Isolithocholic Acid.Flavonifractor.plautii.St_Abundance",4.4520697760424,2.22245102493827,43,2.0032251447098,0.0514816156797733,"Alloiso_Isolithocholic Acid","St_Abundance","Flavonifractor.plautii",0.109464380843736,"Secondary BA"
"Alloiso_Isolithocholic Acid.Hungatella.sp..MP355B12.St_Abundance",0.0651142752452997,2.71695207151577,43,0.0239659270871764,0.980990660996663,"Alloiso_Isolithocholic Acid","St_Abundance","Hungatella.sp..MP355B12",0.986820758762986,"Secondary BA"
"Alloiso_Isolithocholic Acid.Dialister.invisus.St_Abundance",-3.27183915764659,3.73986690251205,43,-0.874854438121557,0.386513598511478,"Alloiso_Isolithocholic Acid","St_Abundance","Dialister.invisus",0.514179000129437,"Secondary BA"
"Alloiso_Isolithocholic Acid.Hungatella.sp..MP68H3.St_Abundance",0.980399329475137,3.26312208475895,43,0.300448252933681,0.765283113235343,"Alloiso_Isolithocholic Acid","St_Abundance","Hungatella.sp..MP68H3",0.836841377818723,"Secondary BA"
"Alloiso_Isolithocholic Acid.Hungatella.sp..MP42C12.St_Abundance",1.63522287328375,6.82850381335001,43,0.239470155978652,0.811878855537358,"Alloiso_Isolithocholic Acid","St_Abundance","Hungatella.sp..MP42C12",0.866472049328174,"Secondary BA"
"Alloiso_Isolithocholic Acid.Hungatella.sp..MP42A4.St_Abundance",2.24722063530948,1.79414457239925,43,1.25253040913216,0.217146064554082,"Alloiso_Isolithocholic Acid","St_Abundance","Hungatella.sp..MP42A4",0.332698857077427,"Secondary BA"
"Alloiso_Isolithocholic Acid.Bifidobacterium.dentium.St_Abundance",0.625949375472132,0.842413505905401,43,0.743042901240502,0.461496157318713,"Alloiso_Isolithocholic Acid","St_Abundance","Bifidobacterium.dentium",0.584204543175351,"Secondary BA"
"Alloiso_Isolithocholic Acid.Dialister.invisus.CAG.218.St_Abundance",-3.82457487523262,3.85936242801221,43,-0.990986191779477,0.327236248279152,"Alloiso_Isolithocholic Acid","St_Abundance","Dialister.invisus.CAG.218",0.45302394654074,"Secondary BA"
"Alloiso_Isolithocholic Acid.Klebsiella.pneumoniae.St_Abundance",-0.824891232090856,0.453363367800128,43,-1.81949246604,0.0758032409422828,"Alloiso_Isolithocholic Acid","St_Abundance","Klebsiella.pneumoniae",0.150669482614574,"Secondary BA"
"Alloiso_Isolithocholic Acid.X.Clostridium..spiroforme.St_Abundance",12.6586118342581,9.41901338671685,43,1.3439424400978,0.186015575355097,"Alloiso_Isolithocholic Acid","St_Abundance","X.Clostridium..spiroforme",0.296665554347629,"Secondary BA"
"Alloiso_Isolithocholic Acid.Campylobacter.curvus.St_Abundance",-5.75998086190254,2.42357666003715,43,-2.37664479811183,0.0219930874552348,"Alloiso_Isolithocholic Acid","St_Abundance","Campylobacter.curvus",0.0541316698997392,"Secondary BA"
"Alloiso_Isolithocholic Acid.Ruthenibacterium.lactatiformans.St_Abundance",6.59534239912331,3.97115500869201,43,1.66081212762723,0.104026820104034,"Alloiso_Isolithocholic Acid","St_Abundance","Ruthenibacterium.lactatiformans",0.189815746640893,"Secondary BA"
"Alloiso_Isolithocholic Acid.Hungatella.hathewayi.St_Abundance",1.22447273305492,1.12270517371339,43,1.09064495445846,0.281503146808507,"Alloiso_Isolithocholic Acid","St_Abundance","Hungatella.hathewayi",0.406882750622992,"Secondary BA"
"Alloiso_Isolithocholic Acid.Ruminococcaceae.bacterium.cv2.St_Abundance",7.8055334315163,4.52382365843641,43,1.72542831481945,0.0916313560876405,"Alloiso_Isolithocholic Acid","St_Abundance","Ruminococcaceae.bacterium.cv2",0.174164563343884,"Secondary BA"
"Alloiso_Isolithocholic Acid.Enterococcus.faecium.St_Abundance",0.518610917475736,2.53881222911407,43,0.204273050022572,0.839103907898885,"Alloiso_Isolithocholic Acid","St_Abundance","Enterococcus.faecium",0.886080501659108,"Secondary BA"
"Alloiso_Isolithocholic Acid.Ruthenibacterium.sp..VE800.03.St_Abundance",10.7029262152645,4.06651125062797,43,2.63196768817784,0.0117416913797351,"Alloiso_Isolithocholic Acid","St_Abundance","Ruthenibacterium.sp..VE800.03",0.0322973001715724,"Secondary BA"
"Alloiso_Isolithocholic Acid.Citrobacter.freundii.St_Abundance",-1.48913224078621,1.18725878521241,43,-1.25426087331061,0.216522715166483,"Alloiso_Isolithocholic Acid","St_Abundance","Citrobacter.freundii",0.332063448724564,"Secondary BA"
"Alloiso_Isolithocholic Acid.Subdoligranulum.sp..MP158A7.St_Abundance",4.04112670027903,4.34046692172679,43,0.931035018387222,0.357033432468972,"Alloiso_Isolithocholic Acid","St_Abundance","Subdoligranulum.sp..MP158A7",0.483779099011325,"Secondary BA"
"Alloiso_Isolithocholic Acid.Lactococcus.lactis.St_Abundance",4.96993684154851,5.78395506952624,43,0.859262698587249,0.394960680249287,"Alloiso_Isolithocholic Acid","St_Abundance","Lactococcus.lactis",0.521860698614159,"Secondary BA"
"Alloiso_Isolithocholic Acid.Lactobacillus.paragasseri.St_Abundance",1.49328062595271,3.22974465259356,43,0.462352534511845,0.646159610631198,"Alloiso_Isolithocholic Acid","St_Abundance","Lactobacillus.paragasseri",0.743488124432892,"Secondary BA"
"Alloiso_Isolithocholic Acid.Erysipelatoclostridium.sp..MP572A05.St_Abundance",13.256794369139,5.90436956957286,43,2.24525145537223,0.0299475816023464,"Alloiso_Isolithocholic Acid","St_Abundance","Erysipelatoclostridium.sp..MP572A05",0.070070150915348,"Secondary BA"
"Alloiso_Isolithocholic Acid.Enterobacter.cloacae.St_Abundance",-2.68002213605346,1.6720646220806,43,-1.60282210427886,0.116295327820961,"Alloiso_Isolithocholic Acid","St_Abundance","Enterobacter.cloacae",0.206291105500392,"Secondary BA"
"Alloiso_Isolithocholic Acid.Romboutsia.sp..MP232A8.St_Abundance",11.4028497313111,5.9248553656405,43,1.92457858084412,0.0609151299103022,"Alloiso_Isolithocholic Acid","St_Abundance","Romboutsia.sp..MP232A8",0.126266875792157,"Secondary BA"
"Alloiso_Isolithocholic Acid.Faecalibacterium.prausnitzii.St_Abundance",3.41075866113739,2.07575581065334,43,1.64314060624687,0.107647431070082,"Alloiso_Isolithocholic Acid","St_Abundance","Faecalibacterium.prausnitzii",0.194218310418728,"Secondary BA"
"Alloiso_Isolithocholic Acid.Streptococcus.salivarius.St_Abundance",4.19952594780066,3.70107577405811,43,1.13467710583942,0.262796434303895,"Alloiso_Isolithocholic Acid","St_Abundance","Streptococcus.salivarius",0.385885701503891,"Secondary BA"
"Alloiso_Isolithocholic Acid.Klebsiella.oxytoca.St_Abundance",-1.72889153459032,0.624276334399994,43,-2.76943308487258,0.00825595834372318,"Alloiso_Isolithocholic Acid","St_Abundance","Klebsiella.oxytoca",0.0241093524947815,"Secondary BA"
"Alloiso_Isolithocholic Acid.Streptococcus.thermophilus.St_Abundance",1.46431201459701,1.69260765752161,43,0.86512193661059,0.391772874220441,"Alloiso_Isolithocholic Acid","St_Abundance","Streptococcus.thermophilus",0.518707930626982,"Secondary BA"
"Alloiso_Isolithocholic Acid.Lactobacillus.rhamnosus.St_Abundance",-1.86831480703379,1.09714912242966,43,-1.7028813757754,0.095809392641424,"Alloiso_Isolithocholic Acid","St_Abundance","Lactobacillus.rhamnosus",0.179153801714656,"Secondary BA"
