"","Value","Std.Error","DF","t.value","pval","scfa_var","Var","Strain","adj.pval"
"2-Methylbutyric acid.Bilophila.wadsworthia.St_Abundance",-0.048760387205892,0.607918933677485,43,-0.0802086997207436,0.936443418433018,"2-Methylbutyric acid","St_Abundance","Bilophila.wadsworthia",0.951165718105182
"2-Methylbutyric acid.Proteus.mirabilis.St_Abundance",-2.20180787485988,1.16281232273531,43,-1.89351955755038,0.0650299287522536,"2-Methylbutyric acid","St_Abundance","Proteus.mirabilis",0.127858550338733
"2-Methylbutyric acid.Escherichia.coli.St_Abundance",-0.425638695863096,0.2653600665052,43,-1.60400433067707,0.11603393864971,"2-Methylbutyric acid","St_Abundance","Escherichia.coli",0.191432188798291
"2-Methylbutyric acid.X.Clostridium..aldenense.St_Abundance",-0.321779752696061,0.474645105319505,43,-0.677937577128194,0.501443196076131,"2-Methylbutyric acid","St_Abundance","X.Clostridium..aldenense",0.606966036602021
"2-Methylbutyric acid.X.Clostridium..clostridioforme.St_Abundance",0.0361289324653569,0.532476154720216,43,0.0678507988481483,0.946218931594444,"2-Methylbutyric acid","St_Abundance","X.Clostridium..clostridioforme",0.958941202943613
"2-Methylbutyric acid.Morganella.morganii.St_Abundance",-2.97517960494517,0.972986589395511,43,-3.05778069026991,0.00382693262392026,"2-Methylbutyric acid","St_Abundance","Morganella.morganii",0.0123293341347671
"2-Methylbutyric acid.Fusobacterium.nucleatum.St_Abundance",-0.576317650393725,0.634051523797775,43,-0.908944508076817,0.368446003424563,"2-Methylbutyric acid","St_Abundance","Fusobacterium.nucleatum",0.477791268957014
"2-Methylbutyric acid.Citrobacter.amalonaticus.St_Abundance",0.501920043012337,0.688161986332146,43,0.729363221132767,0.469733985233153,"2-Methylbutyric acid","St_Abundance","Citrobacter.amalonaticus",0.579198483763312
"2-Methylbutyric acid.X.Clostridium..bolteae.St_Abundance",-0.138759277422713,0.848171317530377,43,-0.163598172391326,0.870814006017854,"2-Methylbutyric acid","St_Abundance","X.Clostridium..bolteae",0.899658787485036
"2-Methylbutyric acid.Veillonella.parvula.St_Abundance",-0.255218122579329,0.568373075514038,43,-0.44903274552284,0.655663046412996,"2-Methylbutyric acid","St_Abundance","Veillonella.parvula",0.732425439099812
"2-Methylbutyric acid.Lachnospiraceae.bacterium.CAG.364.St_Abundance",0.883919212222809,0.55140062062063,43,1.60304355702014,0.116246328404641,"2-Methylbutyric acid","St_Abundance","Lachnospiraceae.bacterium.CAG.364",0.191520590240434
"2-Methylbutyric acid.Enterococcus.casseliflavus.St_Abundance",2.52531164733784,1.80098301709032,43,1.40218515298259,0.168038161696457,"2-Methylbutyric acid","St_Abundance","Enterococcus.casseliflavus",0.254590481163226
"2-Methylbutyric acid.Flavonifractor.plautii.St_Abundance",1.09191847984661,0.989025451169365,43,1.1040347632668,0.275718077855422,"2-Methylbutyric acid","St_Abundance","Flavonifractor.plautii",0.376433209690912
"2-Methylbutyric acid.Hungatella.sp..MP355B12.St_Abundance",1.57901358941439,1.06324005668229,43,1.48509603216183,0.144813198637286,"2-Methylbutyric acid","St_Abundance","Hungatella.sp..MP355B12",0.223807839670953
"2-Methylbutyric acid.Dialister.invisus.St_Abundance",2.10664620255781,1.519402273837,43,1.38649667624744,0.172742395424028,"2-Methylbutyric acid","St_Abundance","Dialister.invisus",0.259975867988408
"2-Methylbutyric acid.Hungatella.sp..MP68H3.St_Abundance",0.770549045309937,1.35734090164169,43,0.567690139137462,0.573197722125541,"2-Methylbutyric acid","St_Abundance","Hungatella.sp..MP68H3",0.666190929026325
"2-Methylbutyric acid.Hungatella.sp..MP42C12.St_Abundance",1.77342722217784,3.15227484071775,43,0.562586484931638,0.57663799483322,"2-Methylbutyric acid","St_Abundance","Hungatella.sp..MP42C12",0.668221463211815
"2-Methylbutyric acid.Hungatella.sp..MP42A4.St_Abundance",0.643282126306248,0.737012992305346,43,0.872823319293312,0.387607481852431,"2-Methylbutyric acid","St_Abundance","Hungatella.sp..MP42A4",0.496763680248705
"2-Methylbutyric acid.Bifidobacterium.dentium.St_Abundance",0.179279390660371,0.39519927673315,43,0.453643013070151,0.652367062012293,"2-Methylbutyric acid","St_Abundance","Bifidobacterium.dentium",0.730958200792963
"2-Methylbutyric acid.Dialister.invisus.CAG.218.St_Abundance",1.71988801812385,1.63267836211828,43,1.05341508654064,0.298034365117937,"2-Methylbutyric acid","St_Abundance","Dialister.invisus.CAG.218",0.400701721663581
"2-Methylbutyric acid.Klebsiella.pneumoniae.St_Abundance",-0.361914368017641,0.187757686556838,43,-1.92756086131304,0.0605320358680923,"2-Methylbutyric acid","St_Abundance","Klebsiella.pneumoniae",0.120930373147851
"2-Methylbutyric acid.X.Clostridium..spiroforme.St_Abundance",-6.31855413570352,4.64136121721074,43,-1.36135798098919,0.180491969345547,"2-Methylbutyric acid","St_Abundance","X.Clostridium..spiroforme",0.26906466629262
"2-Methylbutyric acid.Campylobacter.curvus.St_Abundance",-2.80457419795735,1.01459756183588,43,-2.76422327773247,0.0083683646581914,"2-Methylbutyric acid","St_Abundance","Campylobacter.curvus",0.0261909544406025
"2-Methylbutyric acid.Ruthenibacterium.lactatiformans.St_Abundance",0.396005796421507,1.82936281618366,43,0.216471982986752,0.829643586093501,"2-Methylbutyric acid","St_Abundance","Ruthenibacterium.lactatiformans",0.869307028462763
"2-Methylbutyric acid.Hungatella.hathewayi.St_Abundance",0.797833676698797,0.494977493701325,43,1.61185849225746,0.114309503494336,"2-Methylbutyric acid","St_Abundance","Hungatella.hathewayi",0.189652936825424
