MGS.Sample.ID,gini_simpson_index,inverse_simpson_index
BK1307423AB,0.943100672,17.57490011
BI5710804AB,0.647717787,2.838633242
BL9370904AB,0.741896746,3.874418409
BN6424923AB,0.202423148,1.253797671
BQ5345004AB,0.140127652,1.16296332
BG8045804AB,0.840294168,6.261512088
BH3875623AB,0.320132456,1.470874745
BH3870724AB,0.899401541,9.940510124
BP3739523AB,0.84311659,6.374160291
BM9737323AB,0.940581818,16.82986542
BK3584623AB,0.722093357,3.598330686
BP3742423AB,0.667260688,3.005355733
BJ8847623AB,0.89442412,9.471860463
BP3831004AB,0.814322965,5.385695637
BL9371023AB,0.942330016,17.34004308
BJ9825104AB,0.794635206,4.869383792
BP3760523AB,0.947752349,19.13961637
BF4959323AB,0.610402383,2.566750811
BJ8848204AB,1,Inf
BP3744023AB,0.847573773,6.560550757
BP8487623AB,0.929750198,14.23491566
BH3875904AB,0.547961124,2.212199112
BJ9824523AB,0.819788872,5.549046905
BP3929604AB,0.487168736,1.94995912
BJ9826923AB,0.855828061,6.936162528
BH7033823AB,0.901472947,10.14949675
BG8046023AB,0.81392038,5.37404366
BJ9826123AB,0.85427128,6.862065366
BH3870804AB,0.887843496,8.916112424
BI4243723AB,0.902323424,10.2378691
BJ9825423AB,0.87224034,7.827196796
BF4959104AB,0.862492517,7.272331517
BK2133004AB,0.694920911,3.277838554
BP3856323AB,0.92077654,12.62252366
BL9371123AB,0.932640382,14.8456899
BJ8849223AB,0.951533495,20.63280624
BN6818423AB,0.679472672,3.119858782
BI5710504AB,0.510239487,2.04181426
BL4815623AB,0.82437814,5.694051989
BQ3579223AB,0.926361139,13.5797863
BL9370723AB,0.818386188,5.506189135
BJ8849423AB,0.931016748,14.4962722
BM2080323AB,0.791695269,4.800659092
BH8973023AB,0.862567573,7.276303136
BJ9826423AB,0.137527183,1.159456832
BP7721023AB,0.952723741,21.15226594
BI5711123AB,0.947360918,18.99729186
BP3743604AB,0.908565716,10.93681664
BK0693523AB,0.881646153,8.449239478
BJ8849523AB,0.969405814,32.68594872
BI4243504AB,0.885078329,8.701579036
BL5001423AB,0.961279227,25.82593102
BH3876223AB,0.740291539,3.85047139
BL0416023AB,0.549445295,2.219486309
BM9737623AB,0.943639297,17.74285879
BJ8848523AB,0.891693436,9.233050708
BI5711823AB,0.881016371,8.404517586
BP3857423AB,0.947680064,19.11317333
BI5710704AB,0.825523594,5.731433959
BI4243623AB,0.930460739,14.3803656
BI2430723AB,0.836259697,6.107231894
BJ8849323AB,0.78415628,4.632981682
BP3856923AB,0.888795298,8.992425518
BQ2470323AB,0.827411263,5.794120866
BL5736323AB,0.799113763,4.977941811
BP3762723AB,0.863299418,7.31525781
BJ8847723AB,0.726728508,3.659364512
BH7033723AB,0.941417128,17.06983563
BO0408423AB,0.849767431,6.656346253
BK0693404AB,0.715258958,3.511962992
BI2430423AB,0.859299615,7.107301104
BK7634123AB,0.949344025,19.74100797
BN5897104AB,0.779725713,4.539794508
BH7033923AB,0.906103522,10.65002673
BP3854823AB,0.884159749,8.632577986
BI5712323AB,0.970633533,34.05244529
BF4959423AB,0.765185245,4.258676172
BI2430823AB,0.853077361,6.806303011
BH7033323AB,0.917253732,12.08513725
BM2080123AB,0.878886437,8.256713611
BJ9824623AB,0.589332892,2.435062316
BP3915123AB,0.821680708,5.607918185
BF4959223AB,0.844062792,6.412837646
BJ8848304AB,0.69924212,3.32493366
BF4958923AB,0.890313841,9.116920606
BK0693323AB,0.948010934,19.23481377
BI4243323AB,0.93098038,14.4886339
BJ8848623AB,0.80570054,5.1466947
BP3929823AB,0.709537148,3.442781036
BL0414923AB,0.567167436,2.31036221
BI2430923AB,0.846149524,6.499817406
BK2133123AB,0.638713679,2.767887797
BP3855804AB,0.836780167,6.126706433
BK1307023AB,0.926628051,13.62918675
BH3871023AB,0.858429574,7.063622155
BL0415623AB,0.428824104,1.750774162
BH3876123AB,0.564928574,2.298473171
BL5737523AB,0.865191596,7.417935154
BJ9825204AB,0.748350444,3.973780105
BL5734223AB,0.913664734,11.58275228
BH3871123AB,0.873366269,7.896790149
BJ9826323AB,0.757601347,4.125435471
BJ9825623AB,0.752966696,4.048037187
BH3870923AB,0.874521694,7.969505111
BL5735404AB,0.911282739,11.27176363
BK0693623AB,0.910539065,11.17806338
BG8045924AB,0.834910351,6.057314959
BH7033604AB,0.671187989,3.041251436
BH3876023AB,0.384425903,1.624499803
BM6845023AB,0.943404302,17.66918752
BK0693123AB,0.806043442,5.155793708
BI4243823AB,0.947021195,18.87547286
BJ2606223AB,0.949636067,19.85547866
BI2430604AB,0.837831798,6.166437008
BP8258023AB,0.770093334,4.34959116
BH8973123AB,0.547499784,2.209943697
BJ8849623AB,0.941060616,16.96658369
BJ8848923AB,0.889364551,9.038694269
BK2133323AB,0.965916027,29.33930247
BJ8849023AB,0.746635438,3.946881883
