"","contrast","estimate","SE","df","t.ratio","pval","taxa","pval.adj"
"1","R - NR",-1.19367380726212,0.999210079281998,52,-1.19461746034413,0.237657093705919,"tr|A0A3P6LME2|A0A3P6LME2_SHIDY",0.427782768670655
"2","R - NR",-2.75917708671145,0.713868096096293,52,-3.86510771639705,0.000309993985828926,"tr|A0A2C5V1X0|A0A2C5V1X0_RAOPL",0.00557989174492067
"3","R - NR",-1.30353317215601,0.807921154779844,52,-1.61344106964401,0.11270168852994,"tr|A0A377EPD4|A0A377EPD4_ECOLX",0.289804341934132
"4","R - NR",-0.615001332178785,0.9371147840053,52,-0.656271080849053,0.51454341163871,"tr|A0A073IP05|A0A073IP05_9PORP",0.661555814964056
"5","R - NR",-0.178965607778769,0.980561207188605,52,-0.182513448897174,0.855889500623301,"tr|A0A0P0FCG9|A0A0P0FCG9_BACT4",0.906235941836436
"6","R - NR",-1.67259892526727,0.903354177158639,52,-1.85154280298805,0.0697735128515003,"tr|A0A2X1MFI2|A0A2X1MFI2_ECOLX",0.226773816438147
"7","R - NR",0.194379714985374,0.75332907478307,52,0.258027628950001,0.797404072438963,"tr|A0A3E4NRX8|A0A3E4NRX8_9FIRM",0.906235941836436
"8","R - NR",1.65412221061668,0.802481964444677,52,2.0612578025493,0.0442946738141991,"tr|U2D571|U2D571_9FIRM",0.226773816438147
"9","R - NR",1.74327017900409,0.718364398264407,52,2.42672128966286,0.0187377400249406,"tr|A0A2P2F3W0|A0A2P2F3W0_9FIRM",0.168639660224466
"10","R - NR",1.193417570668,0.927168827145397,52,1.28716317430812,0.203737493989211,"sp|A7AZH2|3BHDP_RUMGV",0.407474987978423
"11","R - NR",0.978338963330555,0.539597044178731,52,1.81309177632652,0.0755912721460489,"tr|A7A5K1|A7A5K1_BIFAD",0.226773816438147
"12","R - NR",0.142444951832918,0.727093116297986,52,0.195910191748452,0.845444045062172,"tr|A0A1C5ZTS2|A0A1C5ZTS2_9CLOT",0.906235941836436
"13","R - NR",0.722066508056077,0.660463156851163,52,1.0932729563578,0.279312896772235,"tr|A0A174PG17|A0A174PG17_9FIRM",0.457057467445476
"14","R - NR",1.306955365968,0.668881666079999,52,1.95394108142842,0.05609653385143,"tr|A0A174THF4|A0A174THF4_9FIRM",0.226773816438147
"15","R - NR",0.873783315950578,0.637549603945958,52,1.370533854217,0.176407853812685,"tr|A0A150Y9V1|A0A150Y9V1_9FIRM",0.396917671078542
"16","R - NR",0.601511654911729,0.671783610473195,52,0.895394953872173,0.374702190009259,"tr|A0A1C6KL97|A0A1C6KL97_9CLOT",0.537502373724977
"17","R - NR",-0.00954045784303349,0.664995443938044,52,-0.0143466514394982,0.988608324680821,"tr|A0A1C6JAH3|A0A1C6JAH3_9CLOT",0.988608324680821
"18","R - NR",0.394839934019526,0.453740095404886,52,0.870189648254908,0.388196158801372,"tr|B0N684|B0N684_9FIRM",0.537502373724977
