"","contrast","estimate","SE","df","t.ratio","pval","taxa","pval.adj"
"1","VE303 High Dose - Placebo",-0.618386902390116,0.826213497936539,75,-0.748458968456133,0.456524126031374,"tr|A0A3P6LME2|A0A3P6LME2_SHIDY",0.61657146564324
"2","VE303 Low Dose - Placebo",-0.14604777330876,0.838802376073783,75,-0.174114639484418,0.862244494383572,"tr|A0A3P6LME2|A0A3P6LME2_SHIDY",0.913753208438747
"3","VE303 Low Dose - VE303 High Dose",0.472339129081355,0.784102839301731,75,0.60239436130851,0.548728678969747,"tr|A0A3P6LME2|A0A3P6LME2_SHIDY",0.814927216953408
"4","VE303 High Dose - Placebo",0.245954216757704,0.553067196976642,75,0.444709464061908,0.657810459824024,"tr|A0A377UN87|A0A377UN87_KLEPN",0.796296872418556
"5","VE303 Low Dose - Placebo",-0.10158640187217,0.561365027613892,75,-0.180963182377014,0.856884608952318,"tr|A0A377UN87|A0A377UN87_KLEPN",0.913753208438747
"6","VE303 Low Dose - VE303 High Dose",-0.347540618629875,0.524604550162716,75,-0.662481136547669,0.509693647174524,"tr|A0A377UN87|A0A377UN87_KLEPN",0.814927216953408
"7","VE303 High Dose - Placebo",-0.726380006184409,0.530048669894292,75,-1.37040246951147,0.174649241006378,"tr|I6H3X8|I6H3X8_SHIFL",0.517906593928003
"8","VE303 Low Dose - Placebo",-0.837551203890113,0.538331157191559,75,-1.55582895899908,0.123958736797065,"tr|I6H3X8|I6H3X8_SHIFL",0.807850739853619
"9","VE303 Low Dose - VE303 High Dose",-0.111171197705703,0.503370640596023,75,-0.220853559464791,0.825806598137562,"tr|I6H3X8|I6H3X8_SHIFL",0.904454845579235
"10","VE303 High Dose - Placebo",-0.593831414795902,0.685994857092604,75,-0.865649951535627,0.389442813592486,"tr|A0A3E4KDW8|A0A3E4KDW8_BACVU",0.61657146564324
"11","VE303 Low Dose - Placebo",-0.789877180742273,0.696152580914121,75,-1.13463226654289,0.26014279607755,"tr|A0A3E4KDW8|A0A3E4KDW8_BACVU",0.807850739853619
"12","VE303 Low Dose - VE303 High Dose",-0.196045765946371,0.650187713967817,75,-0.301521793990827,0.763851079817892,"tr|A0A3E4KDW8|A0A3E4KDW8_BACVU",0.867149711099533
"13","VE303 High Dose - Placebo",-0.0382989453771036,0.616219847913343,75,-0.0621514310303251,0.950607575999723,"tr|A0A2C5V1X0|A0A2C5V1X0_RAOPL",0.950607575999723
"14","VE303 Low Dose - Placebo",0.24757087455812,0.62597792961706,75,0.395494573921434,0.693600652676504,"tr|A0A2C5V1X0|A0A2C5V1X0_RAOPL",0.913753208438747
"15","VE303 Low Dose - VE303 High Dose",0.285869819935224,0.58538841683856,75,0.488342119031136,0.626732317457611,"tr|A0A2C5V1X0|A0A2C5V1X0_RAOPL",0.867149711099533
"16","VE303 High Dose - Placebo",-1.22378886845943,0.612176406026976,75,-1.99907878907294,0.049223179891363,"tr|A0A398ZSZ6|A0A398ZSZ6_SHISO",0.22642662750027
"17","VE303 Low Dose - Placebo",-0.457595572324527,0.621245323896459,75,-0.736577893986358,0.46367689095269,"tr|A0A398ZSZ6|A0A398ZSZ6_SHISO",0.913753208438747
"18","VE303 Low Dose - VE303 High Dose",0.766193296134905,0.580255247883125,75,1.32044182095744,0.190702986451848,"tr|A0A398ZSZ6|A0A398ZSZ6_SHISO",0.690764353635311
"19","VE303 High Dose - Placebo",-0.898304493780276,0.663968124541921,75,-1.35293316136227,0.180141423974957,"tr|A0A377EPD4|A0A377EPD4_ECOLX",0.517906593928003
"20","VE303 Low Dose - Placebo",-0.173946394015785,0.674376403241279,75,-0.257936655523148,0.797162251506567,"tr|A0A377EPD4|A0A377EPD4_ECOLX",0.913753208438747
"21","VE303 Low Dose - VE303 High Dose",0.724358099764491,0.630598342060328,75,1.14868379989365,0.254336740277012,"tr|A0A377EPD4|A0A377EPD4_ECOLX",0.690764353635311
"22","VE303 High Dose - Placebo",0.773696585733052,0.669171156825616,75,1.1562013362968,0.251268551778735,"tr|A0A2P2F3W0|A0A2P2F3W0_9FIRM",0.569949506970669
"23","VE303 Low Dose - Placebo",-0.601677613830978,0.679807082834245,75,-0.885071116532752,0.378947078640415,"tr|A0A2P2F3W0|A0A2P2F3W0_9FIRM",0.913753208438747
"24","VE303 Low Dose - VE303 High Dose",-1.37537419956403,0.635743960486196,75,-2.16340899017301,0.0336954104531537,"tr|A0A2P2F3W0|A0A2P2F3W0_9FIRM",0.690764353635311
"25","VE303 High Dose - Placebo",-0.708418078089516,0.566912656053574,75,-1.24960709648114,0.215328685169713,"tr|A0A1Y3ZX93|A0A1Y3ZX93_9BACE",0.533020096067116
